BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
36.1,1.,April–May 1725,"Secular cantata Schwingt freudig euch empor (birthday of Mencke, J. B. ?)",D maj.,stbSATB Oba Str Va Bc,34: 39,I/39: 1,→ BWV 36.2–.4,00051
37,1.,1724-05-18,Cantata Wer da gläubet und getauft wird (Ascension),A maj.,satbSATB 2Oba Str Bc,7: 259,I/12: 79,"after Z 8359 (/3), 5354 (/6); text after Mk 16: 16, by Nicolai (/3), Kolross (/6)",00052
37/6,1.,1724-05-18,"chorale setting ""Ich dank dir, lieber Herre"" (s. 4)",A maj.,SATB,7: 282,III/2.2: 197,after Z 5354; text by Kolross,11304
38,1.,1724-10-29,Cantata Aus tiefer Not schrei ich zu dir (Trinity XXI),E min.,satbSATB 2Ob 4Tbn Str Bc,7: 283,I/25: 217,after Z 4437; text after Luther,00053
38/6,1.,1724-10-29,"chorale setting ""Aus tiefer Not schrei ich zu dir"" (s. 5)",E min.,SATB,7: 300,III/2.1: 67 III/2.2: 8,after Z 4437; text by Luther,11233
39,1.,1726-06-23,Cantata Brich dem Hungrigen dein Brot (Trinity I),G min.,sabSATB 2Fl 2Ob Str Bc,7: 336,I/15 179,"after Z 6543 (/7); text: Meiningen, after Is 58:7–8 (/1), Hb 13:16 (/4), by Denicke (/7)",00054
39/7,1.,1726-06-23,"chorale setting ""Kommt, lasst euch den Herren lehren"" (s. 6)",B♭ maj.,SATB,7: 348,III/2.1: 81 III/2.2: 37,after Z 6543; text by Denicke,11247
39/7,1.,1726-06-23,"chorale setting ""Freu dich sehr, o meine Seele""",B♭ maj.,SATB,7: 348,III/2.1: 81 III/2.2: 37,after Z 6543,11247
40,1.,1723-12-26,Cantata Darzu ist erschienen der Sohn Gottes (Christmas 2),F maj.,atbSATB 2Hn 2Ob Str Bc,7: 349,I/3.1: 3,"after Z 2072 (/3), 4870 (/6), 7880a (/8); text after 1Jh 3:8 (/1; → BWV 233/6), by Füger (/3), Gerhardt (/6), Keymann (/8)",00055
40/3,1.,1723-12-26,"chorale setting ""Wir Christenleut"" (s. 3)",G min.,SATB,7: 377,III/2.2: 186,after Z 2072; text by Füger,11315
40/6,1.,1723-12-26,"chorale setting ""Schwing dich auf zu deinem Gott"" (s. 2)",D min.,SATB,7: 387,III/2.2: 82,after Z 4870; text by Gerhardt,11343
40/8,1.,1723-12-26,"chorale setting ""Freuet euch, ihr Christen alle"" (s. 4)",F min.,SATB,7: 394,III/2.2: 6,after Z 7880a; text by Keymann,11339
41,1.,1725-01-01,"Cantata Jesu, nun sei gepreiset (New Year)",C maj.,satbSATB 3Tr Tmp 3Ob Str Vc Bc,10: 1,I/4: 37,after Z 8477a; text after Hermann; /6 → BWV 171/6,00056
41/6,1.,1725-01-01,"chorale setting ""Jesu, nun sei gepreiset"" (s. 3)",C maj.,SATB,10: 58,III/2.1: 90 III/2.2: 8,after Z 8477a; text by Hermann,11253
42,1.,1725-04-08,Cantata Am Abend aber desselbigen Sabbats (Quasimodogeniti),D maj.,satbSATB 2Ob Bas Str Bc,10: 63,I/11.1: 61,"after Z 1945b (/7); text after Jh 20:19 (/2), by Fabricius (/4), Luther after Da pacem Domine & Walter after 1Tm 2:2 (/7)",00057
