BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
245/26,4.,1724-04-07,"chorale setting ""Valet will ich dir geben"" (s. 3)",E♭ maj.,SATB,121: 95,III/2.1: 96 III/2.2: 60,after Z 5404a; text by Herberger,11259
245/28,4.,1724-04-07,"chorale setting ""Jesu Leiden, Pein und Tod"" (s. 20)",A maj.,SATB,121: 103,III/2.2: 59,after Z 6288a–b; text by Stockmann,11276
245/37,4.,1724-04-07,"chorale setting ""Christus, der uns selig macht"" (s. 8)",B♭ min.,SATB,121: 121,III/2.2: 63,"after Z 6283b; text by Weiße after ""Patris sapientia""",11277
245/40,4.,1724-04-07,"chorale setting ""Herzlich lieb hab ich dich, o Herr"" (s. 3)",E♭ maj.,SATB,121: 131,III/2.2: 60,after Z 8326; text by Schalling,11278
245.2,4.,1725-03-30,Passion St John Passion (2nd version; Good Friday),E♭ maj.,satbSATB 2Fl 2Ob 2Odc Str Vdg Bc,121,II/4: 167,"after Z 8303 (/1), BWV 245.1, 23/4 (/40); text by Heyden (/1), Heermann (/3, /17), Luther (/5, /40), Brockes (/7, /24, /32, /34, /35, /39), Gerhardt (/11), Birkmann (a, b, c) Stockmann (a, /14, /28, /32), Weiße (/15, /37), Postel (/22, /30), Herberger (/26), after Jh 18–19, Mt 26:75 (/12), Mt 27:51 (/33); → BWV 245.3; /1 → BWV 244.2/29,",00308
245.3,4.,1730-04-07,Passion St John Passion (3rd version; Good Friday),,satbSATB 2Fl 2Ob Str Vdg Org Bc,121 44: 26,II/4: 206,"after BWV 245.1–.2; text after Jh 18–19, by Heermann (/3, /17), Luther (/5), Brockes (/7, /19, /20, /24, /32, /39), Gerhardt (/11), Stockmann (/14, /28, /32), Weiße (/15, /37), Postel (/19, /22, /30), Herberger (/26); → BWV 245.4–5",00309
245.4,4.,1739,Passion St John Passion (incomplete revision),,satbSATB Fl 2Ob Str Bc,121 44: 26,II/4,"after BWV 245.1–.3; text by Heyden (/1), Heermann (/3), Luther (/5), after Jh 18; → BWV 245.5",11076
245.5,4.,1749-04-04,Passion St John Passion (4th version; Good Friday),,satbSATB 2Fl 2Ob 2Oba Odc Bas Str Vdg Hc Bc,121 44: 26,II/4,"after BWV 245.1–4; text after Jh 18–19, Mt 26:75 (/12), Mt 27:51 (/33), by Heermann (/3, /17), Luther (/5), Brockes (/7, /19, /24, /32, /34, /35, /39), Gerhardt (/11), Weise (/13), Stockmann (/14, /28, /32), Weiße (/15, /37), Postel (/19, /22, /30), Herberger (/26), Schalling (/40)",00310
246/40a,4.,1743–1745 (JSB),"Chorale Aus der Tiefen rufe ich, No. 40 of St Luke Passion",,t Str Bc (?),,II/9: 65,after BWV 246/40,00312
247,4.,1731-03-23 1744-04-03,Passion St Mark Passion (Good Friday; music lost but in part reconstructable),,satbSATB 2Fl 2Ob 2Oba 2Vl 2Va (2Vdg 2Lu) Org Bc (?),,II/5,"text by Picander, Jonas, Reusner, Gerhardt, Rist, Kritzelmann , Schein, Stockmann, Franck, J., Homburg , Luther, Spee; after BWV 198/1, /5, /3, /8, /10 (or 244a/7), 54/1, 248/28?, /45, 7/2?",00313
1088,4.,c.1750?,"Arioso So heb ich denn mein Auge sehnlich auf, No. 20 in Passion Oratorio Wer ist der, so von Edom kömmt (Good Friday)",,b 2Bas Bc (?),,I/41: 125,,01274
248,4.,1734-12-25 – 1735-01-06,Oratorio Christmas Oratorio (Christmastide),D maj.,satbSATB 3Tr 2Hn Tmp 2Fl 2Ob 2Oba 2Odc Str Bc,51 44: 125,II/6,"after BWV 214 (/1, /8, /15, /24), 213 (/4, /19, /29, /36, /39, /41), 215 (/47), 248VIa (/54, /56–/57, /61–/64), Z 5385a (/5, /64), 1947 (/7, /28), 346 (/9, /17, /23), 5741b (/12), 6462 (/33), 2072 (/35), 2461c (/46), 3614b (/53), 4429a (/59); text by Picander?, Gerhardt (/5, /17, /23, /33, /59), Luther (/7, /9, /28), Rist (/12, /38, /40, /42), Runge [s:de] (/35), Weissel (/46), Franck, J. (/53), Werner (/64), after Lk 2:1–21, Mt 2:1–12",00314
248I,4.,1734-12-25,"Cantata Jauchzet, frohlocket, auf, preiset die Tage (Christmas Oratorio, Part I; Christmas)",D maj.,satbSATB 3Tr Tmp 2Fl 2Ob 2Oba Str Bc,51: 2 44: 125,II/6: 1,"after BWV 214/1 & /7 (/1 & /8), 213/9 (/4), Z 5385a (/5), 1947 (/7), 346 (/9); text by Picander?, Gerhardt (/5), Luther (/7, /9), after Lk 2:1, 3–7",11385
248/5,4.,1734-12-25,"chorale setting ""Wie soll ich dich empfangen"" (s. 1)",A min.,SATB,51: 36,III/2.2: 199,after Z 5385a; text by Gerhardt,11279
248/5,4.,1734-12-25,"chorale setting ""O Haupt voll Blut und Wunden""",A min.,SATB,51: 36,III/2.2: 199,after Z 5385a; text by Gerhardt,11279
248/9,4.,1734-12-25,"chorale setting ""Vom Himmel hoch da komm ich her"" (s. 13)",D maj.,SATB,51: 47,III/2.2: 26,after Z 346; text by Luther,11280
248II,4.,1734-12-26,"Cantata Und es waren Hirten in derselben Gegend (Christmas Oratorio, Part II; Christmas 2)",G maj.,satbSATB 2Fl 2Oba 2Odc Str Bc,51: 50 44: 126,II/6: 55,"after Z 5741b (/3), 346 (/8, /14), BWV 214/5 (/6), 213/3 (/10); text by Picander?, Rist (/3), Gerhardt (/8, /14), after Lk 2: 8–14",11386
248/12,4.,1734-12-26,"chorale setting ""Ermuntre dich, mein schwacher Geist"" (s. 9)",G maj.,SATB,51: 59,"III/2.1: 83, 92 III/2.2: 7, 207",after Z 5741b; text by Rist,11260
248/12,4.,1734-12-26,"chorale setting ""Du Lebensfürst, Herr Jesu Christ""",G maj.,SATB,51: 59,"III/2.1: 83, 92 III/2.2: 7, 207",after Z 5741b; text by Rist,11260
248/17,4.,1734-12-26,"chorale setting ""Schaut, schaut, was ist für Wunder dar"" (s. 8)",C maj.,SATB,51: 66,III/2.1: 84,after Z 346; text by Gerhardt,11261
248/17,4.,1734-12-26,"chorale setting ""Vom Himmel hoch da komm ich her""",C maj.,SATB,51: 66,III/2.1: 84,after Z 346; text by Luther,11261
248/23,4.,1734-12-26,"chorale setting ""Wir singen dir, Immanuel"" (s. 2)",G maj.,SATB,51: 90,III/2.2: 198,after Z 346; text by Gerhardt,11281
248/23,4.,1734-12-26,"chorale setting ""Vom Himmel hoch da komm ich her""",G maj.,SATB,51: 90,III/2.2: 198,after Z 346; text by Luther,11281
248III,4.,1734-12-27,"Cantata Herrscher des Himmels, erhöre das Lallen (Christmas Oratorio, Part III; Christmas 3)",D maj.,satbSATB 3Tr Tmp 2Fl 2Ob 2Oba Str Bc,51: 94,II/6: 107,"after BWV 214/9 (/1=/13), 213/11 (/6), Z 1947 (/5), 6462 (/10), 2072 (/12); text by Picander?, Luther (/5), Gerhardt (/10), Runge [s:de] (/12), after Lk 2: 15–20",11387
248/28,4.,1734-12-27,"chorale setting ""Gelobet seist du, Jesu Christ"" (s. 7)",D maj.,SATB,51: 110,III/2.1: 85,after Z 1947; text by Luther,11262
248/33,4.,1734-12-27,"chorale setting ""Fröhlich soll mein Herze springen"" (s. 15)",G maj.,SATB,51: 124,III/2.1: 86 III/2.2: 81,after Z 6462; text by Gerhardt,11264
248/33,4.,1734-12-27,"chorale setting ""Warum sollt ich mich denn grämen""",G maj.,SATB,51: 124,III/2.1: 86 III/2.2: 81,after Z 6462; text by Gerhardt,11264
248/35,4.,1734-12-27,"chorale setting ""Laßt Furcht und Pein"" (s. 4)",F♯ min.,SATB,51: 126,III/2.1: 86 III/2.2: 206,after Z 2072; text by Runge [s:de],11263
248/35,4.,1734-12-27,"chorale setting ""Wir Christenleut""",F♯ min.,SATB,51: 126,III/2.1: 86 III/2.2: 206,after Z 2072; text by Füger,11263
248IV,4.,1735-01-01,"Cantata Fallt mit Danken, fallt mit Loben (Christmas Oratorio, Part IV; New Year)",F maj.,satbSATB 2Hn 2Ob Str Bc,51: 128,II/6: 143,"after BWV 213/1, /5, /7 (/1, /4, /6); text by Picander?, Rist (/3, /5, /7), after Lk 2: 21",11388
248/42,4.,1735-01-01,"chorale setting ""Hilf, Herr Jesu, laß gelingen"" (s. 15)",F maj.,SATB,51: 166,III/2.1: 99 III/2.2: 211,text by Rist,11266
248/42,4.,1735-01-01,"chorale setting ""Jesu, meiner Seelen Wonne""",F maj.,SATB,51: 166,III/2.1: 99 III/2.2: 211,text by Janus,11266
248V,4.,1735-01-02,"Cantata Ehre sei dir, Gott, gesungen (Christmas Oratorio, Part V; New Year I)",A maj.,satbSATB 2Oba Str Bc,51: 172,II/6: 199,"after BWV 247/39b (/3), 215/7 (/5), Z 2461c (/4), 3614b (/11); text by Picander?, Weissel (/4), Franck, J. (/11), after Mt 2:1–6",11389
248/46,4.,1735-01-02,"chorale setting ""Nun, liebe Seel, nun ist es Zeit"" (s. 5)",A maj.,SATB,51: 190,III/2.1: 87 III/2.2: 43,after Z 2461c; text by Weissel,11265
248/46,4.,1735-01-02,"chorale setting ""In dich hab ich gehoffet, Herr""",A maj.,SATB,51: 190,III/2.1: 87 III/2.2: 43,after Z 2461c; text by Reusner,11265
248/53,4.,1735-01-02,"chorale setting ""Ihr Gestirn, ihr hohlen Lüfte"" (s. 9)",A maj.,SATB,51: 208,III/2.1: 100 III/2.2: 21,"after Z 3614b; text by Franck, J.",11267
248/53,4.,1735-01-02,"chorale setting ""Gott des Himmels und der Erden""",A maj.,SATB,51: 208,III/2.1: 100 III/2.2: 21,after Z 3614b; text by Albert,11267
248VI,4.,1735-01-06,"Cantata Herr, wenn die stolzen Feinde schnauben (Christmas Oratorio, Part VI; Epiphany)",D maj.,satbSATB 3Tr Tmp 2Ob 2Oba Str Bc,51: 210,II/6: 243,"after BWV 248VIa (/1, /3, /4, /8–/11), Z 4429a (/6), 5385a (/11); text by Picander?, Gerhardt (/6), Werner (/11), after Mt 2:7–12",11390
248/59,4.,1735-01-06,"chorale setting ""Ich steh an deiner Krippen hier"" (s. 1)",G maj.,SATB,51: 245,III/2.1: 84 III/2.2: 208,after 4429a; text by Gerhardt,11268
248/59,4.,1735-01-06,"chorale setting ""Es ist gewisslich an der Zeit""",G maj.,SATB,51: 245,III/2.1: 84 III/2.2: 208,after 4429a; text by Ringwaldt,11268
248/64,4.,1735-01-06,"chorale setting ""Ihr Christen auserkoren"" (s. 4)",D maj.,SATB,51: 256,III/2.1: 85,after 5385a; text by Werner,11269
248/64,4.,1735-01-06,"chorale setting ""Ach Herr, mich armen Sünder""",D maj.,SATB,51: 256,III/2.1: 85,after 5385a; text by Schneegaß,11269
248VIa,4.,1734 or earlier,Cantata model for BWV 248VI,D maj.,satbSATB 3Tr Tmp 2Ob 2Oba Str Bc,,II/6,"after BWV Anh. 10/1; → 248/54, /56–/57, /61–/64",00315
249.5,4.,1743–1746 1749-04-06 1750-03-26,"Oratorio Kommt, eilet und laufet (Easter Oratorio; Easter)",,satbSATB 3Tr Tmp Fl 2Fl 2Ob Oba Str Bc,213,II/7: 1,after BWV 249.4; text by Picander?,00316
249.4,4.,c. 1738,"Oratorio Kommt, eilet und laufet (Easter Oratorio, middle version; Easter)",,satbSATB 3Tr Tmp Fl 2Fl 2Ob Oba Str Bc,,II/7,after BWV 249.3; text by Picander?; → BWV 249.5,11392
249.3,4.,1725-04-01 c.1738,"Cantata Kommt, fliehet und eilet (Easter Oratorio, early versions: first version as cantata; Easter)",,satbSATB 3Tr Tmp Fl 2Fl 2Ob Oba Vl Str Bc,,II/7: 97,after BWV 249.1; text by Picander?; → BWV 249.4,00317
249.1,4.,1725-02-23,"Secular cantata Entfliehet, verschwindet, entweichet, ihr Sorgen, a.k.a. Shepherd Cantata (birthday of Christian of Saxe-Weissenfels; music lost but in part reconstructable)",,satbSATB 3Tr Tmp Fl 2Fl 2Ob Str Bc,,I/35,"text by Picander; → BWV 249.3/1–/3, /5, /7, /9, /11; 249.2",00318
249.2,4.,1726-08-25,"Secular cantata Verjaget, zerstreuet, zerrüttet, ihr Sterne a.k.a. Die Feier des Genius (dramma per musica; birthday of Joachim Friedrich von Flemming ; music lost but in part reconstructable)",,,,I/39,"after BWV 249.1/1–/3, /5, /7, /9, /11; text by Picander",00319
11,4.,1738-05-15,Oratorio Lobet Gott in seinen Reichen (Ascension Oratorio; Ascension),D maj.,satbSATB 3Tr Tmp 2Fl 2Ob Str Bc,2: 1,II/8: 1,"after Z 5741b (/6), 5264b (/9); text by Picander?, Rist (/6), Sacer (/9), after Lk 24:50ff., Acts 1:9–12, Mk 16:19",00013
11/6,4.,1738-05-15,"chorale setting ""Nun lieget alles unter dir"" (= ""Du Lebensfürst, Herr Jesu Christ"", s. 4)",D maj.,SATB,2: 32,III/2.2: 198,after Z 5741b; text by Rist,11299
5.,Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Four-part chorales (see also: List of chorale harmonisations by Johann Sebastian Bach),Up ↑
250,5.,1734–1738,"chorale setting ""Was Gott tut, das ist wohlgetan"" (Three wedding chorales No. 1)",,SATB 2Hn Ob Oba Str Bc,131: 147,III/2.1: 3,text by Rodigast,00320
251,5.,1734–1738,"chorale setting ""Sei Lob und Ehr dem höchsten Gut"" (Three wedding chorales No. 2)",,SATB 2Hn Ob Oba Str Bc,131: 148,III/2.1: 4,"text by Schütz, J. J.",00321
252,5.,1734–1738,"chorale setting ""Nun danket alle Gott"" (Three wedding chorales No. 3)",,SATB 2Hn Ob Oba Str Bc,131: 149,III/2.1: 5,text by Rinkart,00322
253,5.,1750 or earlier,"chorale setting ""Ach bleib bei uns, Herr Jesu Christ""",A maj.,SATB,39: 177,III/2.2: 101,after Z 439; text by Calvisius; ↔ BWV 414,00323
254,5.,1750 or earlier,"chorale setting ""Ach Gott, erhör mein Seufzen""",D Dor.,SATB,39: 177,III/2.2: 105,after Z 1831a; text by Schechs [wikisource:de],00324
255,5.,1750 or earlier,"chorale setting ""Ach Gott und Herr""",C maj.,SATB,39: 178,III/2.2: 24,after Z 4441a; text by Rutilius ,00325
256,5.,1750 or earlier,"chorale setting ""Ach lieben Christen, seid getrost""",A min.,SATB,39: 178,III/2.2: 19,after Z 4441a; text by Gigas,00326
259,5.,1750 or earlier,"chorale setting ""Ach, was soll ich Sünder machen""",E min.,SATB,39: 179,III/2.2: 23,after Z 3573b; text by Flittner ,00329
260,5.,c. 1735 or earlier,"chorale setting ""Allein Gott in der Höh sei Ehr""",G maj.,SATB,39: 180,III/2.1: 9 III/2.2: 147,after Z 4457; text by Decius after Gloria,00330
261,5.,1750 or earlier,"chorale setting ""Allein zu dir, Herr Jesu Christ""",B min.,SATB,39: 180,III/2.2: 206,after Z 7292b; text by Hubert,00331
262,5.,1750 or earlier,"chorale setting ""Alle Menschen müssen sterben""",D maj.,SATB,39: 181,III/2.2: 88,"after Pachelbel; text by Albinus, Rosenmüller",00332
263,5.,1750 or earlier,"chorale setting ""Alles ist an Gottes Segen""",G maj.,SATB,39: 181,III/2.2: 72,after Z 3842f,00333
264,5.,1750 or earlier,"chorale setting ""Als der gütige Gott""",G maj.,SATB,39: 182,III/2.2: 91,after Z 1646; text by Weiße,00334
265,5.,1750 or earlier,"chorale setting ""Als Jesus Christus in der Nacht""",D Dor.,SATB,39: 182,III/2.2: 102,after Z 258; text by Heermann,00335
266,5.,1750 or earlier,"chorale setting ""Als vierzig Tag nach Ostern warn""",E min.,SATB,39: 182,III/2.2: 120,after Z 1743; text by Herman,00336
267,5.,c. 1735 or earlier,"chorale setting ""An Wasserflüssen Babylon""",G maj.,SATB,39: 183,III/2.2: 4,after Z 7663; text by Dachstein,00337
267,5.,c. 1735 or earlier,"chorale setting ""An Wasserflüssen Babylon""",A♭ Maj.,SATB,,III/2.1: 98,after Z 7663; text by Dachstein,00337
267,5.,c. 1735 or earlier,"chorale setting ""Ein Lämmlein geht und trägt",G maj.,SATB,39: 183,,after Z 7663; text by Gerhardt,00337
267,5.,c. 1735 or earlier,"chorale setting ""Ein Lämmlein geht und trägt",A♭ Maj.,SATB,,III/2.2: 180,after Z 7663; text by Gerhardt,00337
268,5.,1750 or earlier,"chorale setting ""Auf, auf, mein Herz""",G maj.,SATB,39: 184,III/2.2: 70,after Z 824; text by Birken,00338
269,5.,1750 or earlier,"chorale setting ""Aus meines Herzens Grunde""",G maj.,SATB,39: 184,III/2.2: 2,after Z 5269; text by Niege ,00339
270,5.,c. 1735 or earlier,"chorale setting ""Befiehl du deine Wege""",B min.,SATB,39: 185,III/2.1: 47 III/2.2: 170,after Z 5385a; text by Gerhardt,00340
271,5.,c. 1735 or earlier,"chorale setting ""Befiehl du deine Wege""",B min.,SATB,39: 185,III/2.1: 97 III/2.2: 210,after Z 5385a; text by Gerhardt,00341
272,5.,1730–1761,"chorale setting ""Befiehl du deine Wege""",D min.,SATB,39: 186,III/2.2: 196,"by Bach, C. P. E.?; after Z 5393; text by Gerhardt",00342
273,5.,1750 or earlier,"chorale setting ""Christ, der du bist der helle Tag""",G min.,SATB,39: 186,III/2.2: 136,after Z 384; text by Alberus,00343
274,5.,1750 or earlier,"chorale setting ""Christe, der du bist Tag und Licht""",G min.,SATB,39: 187,III/2.2: 145,"after Z 343; text by Musculus after ""Christe qui lux es""",00344
275,5.,1750 or earlier,"chorale setting ""Christe, du Beistand""",D Dor.,SATB,39: 187,III/2.2: 122,after Z 993; text by Löwenstern,00345
276,5.,1750 or earlier,"chorale setting ""Christ ist erstanden""",D Dor.,SATB,39: 188,III/2.2: 110,"after Z 8584; text: ""Christ ist erstanden""",00346
277,5.,1750 or earlier,"chorale setting ""Christ lag in Todesbanden""",D Dor.,SATB,39: 189,III/2.2: 11,after Z 7012a; text by Luther,00347
278,5.,c. 1735 or earlier,"chorale setting ""Christ lag in Todesbanden""",E min.,SATB,39: 190,III/2.1: 92 III/2.2: 212,after Z 7012a; text by Luther,00348
279,5.,c. 1725–1735,"chorale setting ""Christ lag in Todesbanden""",E min.,SATB,32: 154,III/2.1: 24 III/2.2: 155,after Z 7012a; text by Luther; ↔ BWV 158/4,00349
280,5.,1750 or earlier,"chorale setting ""Christ unser Herr zum Jordan kam""",D Dor.,SATB,39: 190,III/2.2: 36,after Z 7246; text by Luther,00350
281,5.,1750 or earlier,"chorale setting ""Christus, der ist mein Leben""",F maj.,SATB,39: 191,III/2.2: 6,"after Z 132, Neu Leipziger GB, p 942",00351
282,5.,1750 or earlier,"chorale setting ""Christus, der ist mein Leben""",G maj.,SATB,39: 191,III/2.2: 184,after BWV 95/1,00352
283,5.,1750 or earlier,"chorale setting ""Christus, der uns selig macht""",A min.,SATB,39: 192,III/2.2: 112,"after Z 6283a; text by Weiße after ""Patris sapientia""",00353
284,5.,1750 or earlier,"chorale setting ""Christus ist erstanden, hat überwunden""",C maj.,SATB,39: 192,III/2.2: 113,after Z 6240b; text by Weiße,00354
285,5.,1750 or earlier,"chorale setting ""Da der Herr Christ zu Tische saß""",C min.,SATB,39: 193,III/2.2: 110,after Z 2503; text by Herman,00355
286,5.,1750 or earlier,"chorale setting ""Danket dem Herrn, denn er ist""",A min.,SATB,39: 193,III/2.2: 134,after Z 12; text by Horn ,00356
287,5.,1750 or earlier,"chorale setting ""Dank sei Gott in der Höhe""",F maj.,SATB,39: 194,III/2.2: 182,after Z 5391; text by Mühlmann ,00357
288,5.,c. 1735 or earlier,"chorale setting ""Das alte Jahr vergangen ist""",D Dor.,SATB,39: 194,III/2.1: 11 III/2.2: 93,after Z 381; text by Steuerlein ,00358
289,5.,1750 or earlier,"chorale setting ""Das alte Jahr vergangen ist""",E min.,SATB,39: 194,III/2.2: 183,after Z 381; text by Steuerlein ,00359
290,5.,1750 or earlier,"chorale setting ""Das walt Gott Vater und Gott Sohn""",F maj.,SATB,39: 195,III/2.2: 132,after Z 673; text by Behm,00360
291,5.,1750 or earlier,"chorale setting ""Das walt mein Gott""",D min.,SATB,39: 195,III/2.2: 42,after Z 4217; text by Förtsch [wikisource:de]?,00361
292,5.,1750 or earlier,"chorale setting ""Den Vater dort oben""",C maj.,SATB,39: 196,III/2.2: 141,after Z 4795; text by Weiße,00362
293,5.,1750 or earlier,"chorale setting ""Der du bist drei in Einigkeit""",D Dor.,SATB,39: 196,III/2.2: 89,"after Z 335e; text by Luther after ""O lux beata Trinitas""",00363
294,5.,1750 or earlier,"chorale setting ""Der Tag, der ist so freudenreich""",G maj.,SATB,39: 197,III/2.2: 90,"after Z 7870; text after ""Dies est laetitiae""",00364
295,5.,1750 or earlier,"chorale setting ""Des Heilgen Geistes reiche Gnad""",D min.,SATB,39: 197,III/2.2: 120,"after Z 370b; text by Gesius after ""Spiritus Sancti gratia""",00365
296,5.,1750 or earlier,"chorale setting ""Die Nacht ist kommen""",G Mix.,SATB,39: 198,III/2.2: 136,after Z 5001; text by Herbert ,00366
297,5.,1750 or earlier,"chorale setting ""Die Sonn hat sich mit ihrem Glanz gewendet""",D Dor.,SATB,39: 198,III/2.2: 137,after Z 923; text by Stegmann ; ↔ BWV 447,00367
298,5.,1750 or earlier,"chorale setting ""Dies sind die heilgen zehn Gebot""",C maj.,SATB,39: 198,III/2.2: 72,after Z 1951; text by Luther,00368
299 ,5.,1725–1735,"chorale setting ""Dir, dir, Jehova, will ich singen""",B♭ maj.,SATB,39: 199,III/2.1: 11 III/2.2: 121,↔ Z 3068; text by Crasselius; → BWV 452,00369
299 ,5.,1725–1735,"Notebook A. M. Bach (1725) No. 39: chorale setting ""Dir, dir, Jehova, will ich singen""",B♭ maj.,S(AT)B (V Bc),432: 50,V/4: 126,↔ Z 3068; text by Crasselius; → BWV 452,11543
300,5.,1750 or earlier,"chorale setting ""Du großer Schmerzensmann""",E min.,SATB,39: 199,III/2.2: 94,after Z 5159a; text by Thebesius ,00370
301,5.,1750 or earlier,"chorale setting ""Du, o schönes Weltgebäude""",D min.,SATB,39: 200,III/2.2: 80,"after Z 6773; text by Franck, J.",00371
302,5.,c. 1735 or earlier,"chorale setting ""Ein feste Burg ist unser Gott""",D maj.,SATB,39: 200,III/2.1: 48 III/2.2: 14,after Z 7377; text by Luther after Ps. 46,00372
303,5.,c. 1735 or earlier,"chorale setting ""Ein feste Burg ist unser Gott""",D maj.,SATB,39: 201,III/2.1: 10 III/2.2: 148,after Z 7377; text by Luther after Ps. 46,00373
304,5.,c. 1735 or earlier,"chorale setting ""Eins ist not, ach Herr, dies Eine""",D maj.,SATB,39: 201,III/2.1: 36 III/2.2: 166,after Z 7127; text by Schröder,00374
305,5.,1750 or earlier,"chorale setting ""Erbarm dich mein, o Herre Gott""",A min.,SATB,39: 202,III/2.2: 20,after Z 5851; text by Hegenwald after Ps. 51,00375
